id,name,age,sex,icfes
1,Lurline,64,0,60
2,Shaylah,94,0,71
3,Garrik,38,0,445
4,Viole,42,1,282
5,Fidelia,19,0,416
6,Nels,35,0,390
7,Lewie,69,1,158
8,Udale,55,0,485
9,Angel,35,0,420
10,Sileas,22,1,281
11,Donielle,24,0,493
12,Evangelin,84,0,217
13,Sadella,24,0,68
14,Carlen,98,1,254
15,Leonora,77,1,306
16,Dulcie,54,0,52
17,Jennilee,96,1,277
18,Wilfred,50,0,333
19,Jourdain,32,0,2
20,Lyn,13,0,495
21,Dex,59,1,106
22,Leeann,12,0,87
23,Mimi,7,1,208
24,Allistir,39,0,286
25,Cissiee,82,0,94
26,Gaylor,71,1,207
27,Giacopo,28,0,443
28,Georg,25,0,413
29,Keene,47,1,393
30,Darbee,91,1,411
31,Gerick,5,1,410
32,Flo,78,0,384
33,Ethelin,76,1,445
34,Gasper,27,1,304
35,Fern,35,1,352
36,Imelda,90,0,389
37,Dallis,96,0,472
38,Martelle,70,0,305
39,Coretta,52,1,380
40,Cammy,78,1,286
41,Tate,93,0,445
42,Nichole,40,1,254
43,Phaedra,85,0,69
44,Rossy,13,1,335
45,Trevor,87,0,234
46,Timotheus,95,1,115
47,Halli,91,0,69
48,Bamby,48,1,135
49,Melisse,76,1,187
50,Penny,23,0,476
51,Clyve,98,0,415
52,Mariya,57,1,74
53,Garth,52,0,469
54,Rivalee,10,1,312
55,Eadmund,79,0,364
56,Dionysus,4,0,329
57,Tisha,33,1,193
58,Dani,4,1,103
59,Clare,51,0,155
60,Ario,64,1,156
61,Kristin,77,1,478
62,Barnebas,57,0,279
63,Rorie,44,1,473
64,Robinson,98,1,286
65,Kristo,73,1,366
66,Leonie,8,0,32
67,Mathilde,72,1,292
68,Elfie,16,0,331
69,Barbabra,86,0,147
70,Harland,46,0,202
71,Ebenezer,89,1,294
72,Rochelle,54,0,6
73,Corella,93,1,421
74,Bailie,3,1,160
75,Hailey,85,0,352
76,Grant,26,0,256
77,Marlowe,25,0,256
78,Manolo,93,0,292
79,Niven,98,0,393
80,Ardyce,89,1,185
81,Ced,64,1,79
82,Horten,41,0,117
83,Cy,6,0,209
84,Nicko,28,0,473
85,Kinny,71,0,127
86,Rowe,21,0,215
87,Pauli,5,1,189
88,Vinita,21,0,196
89,Bevvy,68,1,397
90,Celine,44,1,396
91,Moses,10,1,411
92,Meier,13,1,401
93,Cris,86,0,217
94,Jenelle,79,1,6
95,Kevan,43,1,375
96,Kris,65,1,300
97,Cornelius,23,1,496
98,Frazier,69,0,109
99,Vernen,89,1,455
100,Nari,12,1,12
